状态,源文件,类型,源文件字节,当前构建归属字节,构建分包,判定说明
动态保留,assets/scripts/test/hmac.js,script,3984,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/test/rc4.js,script,3569,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/test/mode-ctr-gladman.js,script,2335,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/test/sha384.js,script,2264,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/test/lib-typedarrays.js,script,2228,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/test/mode-cfb.js,script,2115,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/common/EditBoxEx.ts,script,2038,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/test/sha224.js,script,1915,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/test/format-hex.js,script,1822,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/UI/panelSJBWeb.ts,script,1681,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/test/index.js,script,1631,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/test/mode-ctr.js,script,1467,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/test/mode-ofb.js,script,1330,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/test/pad-ansix923.js,script,1265,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/test/pad-iso10126.js,script,1118,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/test/pad-zeropadding.js,script,1110,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/migration/use_v2.1-2.2.1_cc.Toggle_event.js,script,962,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/test/pad-iso97971.js,script,918,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/test/mode-ecb.js,script,893,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/migration/use_reversed_rotateTo.js,script,738,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/test/pad-nopadding.js,script,554,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/test/hmac-sha384.js,script,501,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/kbe_scripts/Item.js,script,498,0,,KBEngine 实体类型按名称动态装载，来自 assets/scripts/GameDataManager.ts；KBEngine 实体类型按名称动态装载，来自 assets/scripts/kbe_scripts/kbengine.js
动态保留,assets/scripts/test/hmac-sha512.js,script,468,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/test/hmac-sha224.js,script,464,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/test/hmac-sha3.js,script,462,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/test/hmac-ripemd160.js,script,440,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/test/hmac-sha256.js,script,431,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/test/hmac-sha1.js,script,425,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/test/hmac-md5.js,script,422,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/test/format-openssl.js,script,416,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/test/pad-pkcs7.js,script,411,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/test/enc-latin1.js,script,362,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/test/enc-utf8.js,script,360,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/test/enc-hex.js,script,359,0,,Cocos 脚本合包或全局模块，保守保留
